Name	set	ImageFile	ProtoCost	CardType	CardType2	BattleType	Keyword1	Basic	Solo	Transform
VF-1A Unblockable	robotech	MS078VF1AUnlockable.png	2	Mecha	Veritech - Earth	LS	Blue Squadron			Y
VF-1D	robotech	MS079VF1D.png	1	Mecha	Veritech - Earth	LS	Blue Squadron	Y		Y
VF-1J	robotech	MS080VF1J.png	3	Mecha	Veritech - Earth	LS	Blue Squadron			Y
VF-1J Battloid Intercept	robotech	MS081VF1JBattloidIntercept.png	3	Mecha	Veritech - Earth	LS	Blue Squadron			Y
VF-1J Blitzkrieg	robotech	MS082VF1JBlitzkrieg.png	3	Mecha	Veritech - Earth	LS	Blue Squadron			Y
VF-1J Max Sterling Booster	robotech	MS083VF1JMaxSterlingBooster.png	5	Mecha	Veritech - Earth	LS	Blue Squadron		Y	Y
VF-1J Miriya Booster	robotech	MS084VF1JMiriyaBooster.png	5	Mecha	Veritech - Earth	LS	Blue Squadron		Y	Y
Escape Capsule	robotech	MS085EscapeCapsule.png	3	Action						
Infiltrate	robotech	MS086Infiltrate.png	3	Action						
Manual Overide Beam	robotech	MS087ManualOverideBeam.png	3	Action						
Massive Bombardment	robotech	MS088MassiveBombardment.png	3	Action						
Breetai	robotech	MS089Breetai.png	3	Character	Officer - Zentraedi	M-L	Breetai's Forces			
Bron	robotech	MS090Bron.png	1	Character	Pilot - Zentraedi	M-L	Breetai's Forces			
Exedore	robotech	MS091Exedore.png	2	Character	Officer - Zentraedi	M-L	Breetai's Forces			
Khonda	robotech	MS092Khonda.png	1	Character	Pilot - Zentraedi	M-L	Breetai's Forces			
Rico	robotech	MS093Rico.png	1	Character	Pilot - Zentraedi	M-L	Breetai's Forces			
Zentraedi Guard	robotech	MS094ZentraediGuard.png	0	Character	Pilot - Zentraedi	M-L	Breetai's Forces	Y		
Battlepod	robotech	MS095Battlepod5DP.png	1	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Battlepod - 7DP	robotech	MS096Battlepod7DP.png	2	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Battlepod - 9DP	robotech	MS097Battlepod9DP.png	3	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Battlepod - Blockable	robotech	MS098BattlepodBlockable.png	1	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Battlepod - Destructible	robotech	MS099BattlepodDestructible.png	1	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Fighter Pod - Blockable	robotech	MS100FighterPodBlockable.png	1	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Fighter Pod - Destruction	robotech	MS101FighterPodDestruction.png	1	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Heavy Artillery - Destructive	robotech	MS102HeavyArtilleryDestructive.png	2	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Light Artillery - Counter Strike	robotech	MS103LightArtilleryCounterStrike.png	2	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Officer's Battlepod - Destruction	robotech	MS104OfficersBattlepodDestruction.png	3	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Officer's Battlepod - Destroyer	robotech	MS105OfficersBattlepodDestroyer.png	4	Mecha	Battlepod - Zentraedi	LS	Breetai's Forces			
Powered Armor - Male (Cannon)	robotech	MS106PoweredArmorMaleCannon.png	3	Mecha	Armor - Zentraedi	LS				
Powered Armor - Male (Defender)	robotech	MS107PoweredArmorMaleDefender.png	3	Mecha	Armor - Zentraedi	LS				
Carrier	robotech	MS108Carrier.png	4	Mecha	Vessel - Zentraedi	S				
Destroyer	robotech	MS109Destroyer.png	3	Mecha	Vessel - Zentraedi	S				
Flagship - Breetai	robotech	MS110FlagshipBreetai.png	5	Mecha	Vessel - Zentraedi	S				
Recon Pod	robotech	MS111ReconPod.png	2	Mecha	Vessel - Zentraedi	LS				
Re-Entry Pod	robotech	MS112ReEntryPod.png	3	Mecha	Vessel - Zentraedi	LS				
Scoutship	robotech	MS113Scoutship.png	2	Mecha	Vessel - Zentraedi	S				
Daedelus Attack	robotech	MS114DaedelusAttack.png	4	Action						
Homecoming	robotech	MS115Homecoming.png	3	Action						
I Want You	robotech	MS116IWantYou.png	1	Action						
Minmei Sings	robotech	MS117MinmeiSings.png	4	Action						
Omni Directional Barrier Overload	robotech	MS118OmniDirectionalBarrierOverload.png	8	Action						
Omni Directional Barrier System	robotech	MS119OmniDirectionalBarrierSystem.png	5	Action						
Rick Hunter Space Walk	robotech	MS120RickHunterSpaceWalk.png	2	Action						
SDF-1 Space Fold	robotech	MS121SDF1SpaceFold.png	3	Action						
Admiral Hayes	robotech	MS122AdmiralHAyes.png	2	Character	Officer - Earth					
Claudia Grant	robotech	MS123ClaudiaGrant.png	0	Character	Officer - Earth					
Emil Lang	robotech	MS124EmilLang.png	2	Character	Officer - Earth					
Henry Gloval - Captain	robotech	MS125HenryGlovalCaptain.png	3	Character	Officer - Earth				Y	
Kim Young	robotech	MS126KimYoung.png	0	Character	Officer - Earth					
Lisa Hayes	robotech	MS127LisaHayes.png	2	Character	Officer - Earth				Y	
Minmei	robotech	MS128Minmei.png	0	Character	Civilian - Earth					
Pilot - Skull Squadron	robotech	MS129PilotSkullSquadron.png	0	Character	Pilot - Earth	M	Skull Squadron	Y		
Rick Hunter - Corporal	robotech	MS130RickHunterCorporal.png	1	Character	Pilot - Earth	M				
Roy Fokker - Lt. Cmdr.	robotech	MS131RoyFokkerLtCmdr.png	3	Character	Officer/Pilot - Earth	M	Skull Squadron			
Sammie Porter	robotech	MS132SammiePorter.png	0	Character	Officer - Earth					
Vanessa Leeds	robotech	MS133VanessaLeeds.png	0	Character	Officer - Earth				Y	
Alaska Base	robotech	MS134AlaskaBase.png	7	Location	Earth				Y	
Macross Island	robotech	MS135MacrossIsland.png	1	Location	Earth				Y	
Destroid Defender	robotech	MS136DestructoidDefender.png	1	Mecha	Destroid - Earth	L	Burst			
Destroid Monster	robotech	MS137DestroidMonster.png	4	Mecha	Destroid - Earth	L	Burst			
Destroid Monster - Vessel	robotech	MS138DestroidMonsterVessel.png	4	Mecha	Destroid - Earth	L	Burst			
Destroid Phalanx	robotech	MS139DestroidPhalanx.png	2	Mecha	Destroid - Earth	L	Burst			
Destroid Phalanx - Vessel	robotech	MS140DestroidPhalanxVessel.png	2	Mecha	Destroid - Earth	L	Burst			
Destroid Spartan - Armor	robotech	MS141DestroidSpartanArmor.png	2	Mecha	Destroid - Earth	L	Burst	Y		
Destroid Spartan	robotech	MS142DestroidSpartan.png	2	Mecha	Destroid - Earth	L	Burst			
Destroid Tomahawk	robotech	MS143DestroidTomahawk.png	3	Mecha	Destroid - Earth	L	Burst			
Ghost Fighter	robotech	MS144GhostFighter.png	1	Mecha	Fighter - Earth	S		Y		
Lancer Space Drone - Vessel	robotech	MS145LancerSpaceDroneVessel.png	1	Mecha	Fighter - Earth	S				
Lancer Space Drone	robotech	MS146LancerSpaceDrone.png	1	Mecha	Fighter - Earth	S		Y		
VF-1A Ammo Shortage	robotech	MS147VF1AAmmoShortage.png	2	Mecha	Veritech - Earth	LS				Y
VF-1D Rescuer	robotech	MS148VF1DRescuer.png	1	Mecha	Veritech - Earth	LS				Y
VF-1D Tandem	robotech	MS149VF1DTandem.png	1	Mecha	Veritech - Earth	LS				Y
VF-1J Guardian Transformer	robotech	MS150VF1JGuardianTransformer.png	3	Mecha	Veritech - Earth	LS				Y
VF-1S	robotech	MS151VF1S.png	3	Mecha	Veritech - Earth	LS				Y
VF-1S Skull Leader	robotech	MS152VF1SSkullLeader.png	4	Mecha	Veritech - Earth	LS	Skull Squadron		Y	Y
VF-1S Skull Leader Booster	robotech	MS153VF1SSkullLeaderBooster.png	4	Mecha	Veritech - Earth	LS	Skull Squadron		Y	Y
ARMD - 1	robotech	MS154ARMD1.png	5	Mecha	Vessel - Earth				Y	
Oberth-class Destroyer	robotech	MS155OberthclassDestroyer.png	3	Mecha	Vessel - Earth					
SDF-1 Barrier	robotech	MS156SDF1Barrier.png	2	Mecha	Vessel - Earth				Y	
SDF-1 Main Cannon	robotech	MS157SDF1MainCannon.png	2	Mecha	Vessel - Earth				Y	
Neutron S Missiles	robotech	NG001NeutronSMissiles.png	5	Action						
Theft by Balloon	robotech	NG002TheftbyBalloon.png	1	Action						
Annie LaBelle	robotech	NG003AnnieLaBelle.png	0	Character	Civilian - Earth	F	Rebels			
Lancer - Lieutenant	robotech	NG004LancerLieutenant.png	2	Character	Pilot - Earth		Rebels			
Lunk	robotech	NG005Lunk.png	0	Character	Pilot - Earth	M	Rebels			
Rand	robotech	NG006Rand.png	1	Character	Pilot - Earth	M	Rebels			
Rook	robotech	NG007Rook.png	2	Character	Pilot - Earth	F	Rebels			
Scott Bernart - Lt Cmdr	robotech	NG008ScottBernardLtCmdr.png	3	Character	Officer/Pilot - Earth	M	Rebels			
Synchro Cannon	robotech	NG009SynchroCannon.png	4	Mecha	Earth	L			Y	
Cyclone VR-038L	robotech	NG010CycloneVR038L.png	1	Mecha	Veritech - Earth	L				
Cyclone VR-041H	robotech	NG011CycloneVR041H.png	1	Mecha	Veritech - Earth	L				
Alpha VFA-6H	robotech	NG012AlphaVFA6H.png	4	Mecha	Veritech - Earth	LS				Y
Alpha VFA-6H (Scott)	robotech	NG013AlphaVFA6HScott.png	4	Mecha	Veritech - Earth	LS			Y	Y
Alpha VFA-6I	robotech	NG014AlphaVFA6I.png	3	Mecha	Veritech - Earth	LS				Y
Alpha VFA-6I (Lancer)	robotech	NG015AlphaVFA6ILancer.png	3	Mecha	Veritech - Earth	LS			Y	Y
Alpha VFA-6Z	robotech	NG016AlphaVFA6Z.png	2	Mecha	Veritech - Earth	LS				Y
Alpha VFA-6Z (Rook)	robotech	NG017AlphaVFA6ZRook.png	3	Mecha	Veritech - Earth	LS			Y	Y
Beta VFB-9	robotech	NG018BetaVFB9.png	4	Mecha	Veritech - Earth	LS				Y
Shadow Drone	robotech	NG019ShadowDrone.png	3	Mecha	Veritech - Earth	LS	Shadow Technology		Y	Y
Shadow Fighter	robotech	NG020ShadowFighter.png	4	Mecha	Veritech - Earth	LS	Shadow Technology		Y	Y
Garfish-class Cruiser	robotech	NG021GarfishclassCruiser.png	2	Mecha	Vessel - Earth	LS				
Horizon-T class Combat Dropship	robotech	NG022HorizonTclassCombatDropship.png	1	Mecha	Vessel - Earth	LS				
SDF-4	robotech	NG023SDF4.png	3	Mecha	Vessel - Earth	S				
Enemy Occupation	robotech	NG024EnemyOccupation.png	3	Action						
Metamorphosis	robotech	NG025Metamorphosis.png	5	Action						
Symphony of Light	robotech	NG026SymphonyofLight.png	6	Action						
Transmutation	robotech	NG027Transmutation.png	3	Action						
Ariel	robotech	NG028Ariel.png	3	Character	Civilian - Invid	F				
Corg	robotech	NG029Corg.png	4	Character	Officer/Pilot - Invid	M				
Invid Pilot	robotech	NG030InvidPilot.png	0	Character	Officer/Pilot - Invid	M		Y		
Sera	robotech	NG031Sera.png	3	Character	Officer/Pilot - Invid	F				
The Regess	robotech	NG032TheRegess.png	3	Character	Officer - Invid	F				
Invid Hive	robotech	NG033InvidHive.png	3	Location	Invid					
Reflex Point	robotech	NG034ReflexPoint.png	3	Location	Invid				Y	
Enforcer	robotech	NG035Enforcer.png	3	Mecha	Invid	LS				
Enforcer - Leader	robotech	NG036EnforcerLeader.png	3	Mecha	Invid	LS				
Invid Commander	robotech	NG037InvidCommander.png	4	Mecha	Invid	LS				
Invid Commander - Corg	robotech	NG038InvidCommanderCorg.png	4	Mecha	Invid	LS				
Invid Commander - Sera	robotech	NG039InvidCommanderSera.png	4	Mecha	Invid	LS				
Scout	robotech	NG040Scout.png	1	Mecha	Invid	LS				
Scout - Fighter	robotech	NG041ScoutFighter.png	1	Mecha	Invid			Y		
Scout - Interceptor	robotech	NG042ScoutInterceptor.png	2	Mecha	Invid	LS				
Shocktrooper	robotech	NG043Shocktrooper.png	2	Mecha	Invid	L				
Soldier	robotech	NG044Soldier.png	1	Mecha	Invid	L				
Trooper	robotech	NG045Trooper.png	2	Mecha	Invid	L				
Invid Carrier	robotech	NG046InvidCarrier.png	1	Mecha	Vessel - Invid	S				
Clothesline	robotech	RM001Clothesline.png	2	Action						
Angelo Dante - Sergeant	robotech	RM002AngeleoDanteSergeant.png	1	Character	Pilot - Earth	M	15th ATAC Squadron			
Bowie Grant - Private	robotech	RM003BowieGrantPrivate.png	0	Character	Pilot - Earth	M	15th ATAC Squadron			
Dana Sterling - Lieutenant	robotech	RM004DanaSterlingLieutenant.png	3	Character	Officer/Pilot - Earth/Zentraedi	F	15th ATAC Squadron			
Louie Nichols - Corporal	robotech	RM005LouieNicholsCorporal.png	2	Character	Pilot - Earth	M	15th ATAC Squadron			
Marie Crystal - Lieutenant	robotech	RM006MarieCrystalLieutenant.png	3	Character	Officer/Pilot - Earth	F	Calvary Squadron			
Nova Satori - Lieutenant	robotech	RM007NovaSatoriLieutenant.png	2	Character	Officer/Pilot - Earth	F	Global Military Police (GMP)			
Rolf Emerson - General	robotech	RM008RolfEmersonGeneral.png	4	Character	Officer - Earth	M				
Sean Phillips - Private	robotech	RM009SeanPhillipsPrivate.png	2	Character	Pilot - Earth	M	15th ATAC Squadron			
Monument City	robotech	RM010MonumentCity.png	3	Location	Earth				Y	
Chimera Fighter	robotech	RM011ChimeraFighter.png	1	Mecha	Fighter - Earth	S				
Sylphid Interceptor	robotech	RM012SylphidInterceptor.png	1	Mecha	Fighter - Earth	S	Calvary Squadron	Y		
GMP Robot	robotech	RM013GMPRobot.png	1	Mecha	Destroid - Earth	L	Global Military Police (GMP)	Y		
Veritech AGAC	robotech	RM014VeritechAGAC.png	3	Mecha	Veritech - Earth	LS	Calvary Squadron			Y
Veritech AGAC - Marie Crystal	robotech	RM015VeritechAGACMarieCrystal.png	4	Mecha	Veritech - Earth	LS	Calvary Squadron		Y	Y
Veritech Logan	robotech	RM016VeritechLogan.png	2	Mecha	Veritech - Earth	LS				Y
Veritech Logan - Marie Crystal	robotech	RM017VeritechLoganMarieCrystal.png	3	Mecha	Veritech - Earth	LS	Calvary Squadron		Y	Y
Veritech Hovertank	robotech	RM018VeritechHovertank.png	2	Mecha	Veritech - Earth	LS				Y
Veritech Hovertank - Bowie Grant	robotech	RM019VeritechHovertankBowieGrant.png	3	Mecha	Veritech - Earth	LS	15th ATAC Squadron		Y	Y
Veritech Hovertank - Dana Sterling	robotech	RM020VeritechHovertankDanaSterling.png	4	Mecha	Veritech - Earth	LS	15th ATAC Squadron		Y	Y
Veritech Hovertank - Sean Phillips	robotech	RM021VeritechHovertankSeanPhillips.png	3	Mecha	Veritech - Earth	LS	15th ATAC Squadron		Y	Y
Veritech Hovertank - Angelo Dante	robotech	RM022VeritechHovertankAngeloDante.png	3	Mecha	Veritech - Earth	LS			Y	Y
Veritech Hovertank - Louie Nichols	robotech	RM023VeritechHovertankLouieNichols.png	3	Mecha	Veritech - Earth	LS			Y	Y
Tokugawa-class Battleship	robotech	RM024TokugawaclassBattleship.png	2	Mecha	Vessel - Earth	S				
Tristar-class Large Cruiser	robotech	RM025TristarclassLargeCruiser.png	4	Mecha	Vessel - Earth	S				
Allegra	robotech	RM026Allegra.png	0	Character	Civilian - Robotech Masters	F				
Musica	robotech	RM027Musica.png	0	Character	Civilian - Robotech Masters	F				
Octavia	robotech	RM028Octavia.png	0	Character	Civilian - Robotech Masters	F				
Robotech Masters Clone Soldiers	robotech	RM029RobotechMastersCloneSoldiers.png	1	Character	Pilot - Robotech Masters	M	Non-Solo			
Robotech Masters Elders	robotech	RM030RobotechMastersElders.png	3	Character	Officer - Robotech Masters	M	Non-Solo			
Zor-Prime	robotech	RM031ZorPrime.png	4	Mecha	Officer/Pilot - Robotech Masters	M				
Protoculture Matrix	robotech	RM032ProtocultureMatrix.png	3	Location	Robotech Masters					
Bioroid Armored Fighter	robotech	RM033BioroidArmoredFighter.png	2	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Armored Fighter - Group	robotech	RM034BioroidArmoredFighterGroup.png	2	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Armored Fighter - Recurrence	robotech	RM035BioroidArmoredFighterRecurrence.png	2	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Armored Fighter - Triumvirate	robotech	RM036BioroidArmoredFighterTriumvirate.png	2	Mecha	Bioroid - Robotech Masters	LS	Triumvirate			
Bioroid Commander	robotech	RM037BioroidCommander.png	4	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Commander - Recurrence	robotech	RM038BioroidCommanderRecurrence.png	4	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Commander - Sacrifice	robotech	RM039BioroidCommanderSacrifice.png	4	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Commander - Zor Prime	robotech	RM040BioroidCommanderZorPrime.png	5	Mecha	Bioroid - Robotech Masters	LS			Y	
Bioroid Soldier	robotech	RM041BioroidSoldier.png	1	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Soldier - Triumvirate	robotech	RM042BioroidSoldierTriumvirate.png	1	Mecha	Bioroid - Robotech Masters	LS	Triumvirate			
Bioroid Subcommander	robotech	RM043BioroidSubcommander.png	3	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Subcommander - Exchange	robotech	RM044-BioroidSubcommanderExchange.png	3	Mecha	Bioroid - Robotech Masters	LS				
Bioroid Subcommander - Recurrence	robotech	RM045BioroidSubcommanderRecurrence.png	3	Mecha	Bioroid - Robotech Masters	LS				
Triumvaroid	robotech	RM046Triumvaroid.png	1	Mecha	Fighter - Robotech Masters	S	Triumvirate	Y		
Tirolian Heavy Cruiser	robotech	RM047TirolianHeavyCruiser.png	4	Mecha	Vessel - Robotech Masters	S				
Tirolian Mothership	robotech	RM048TirolianMothership.png	5	Mecha	Vessel - Robotech Masters	S				
Tirolian Transport - Attacker	robotech	RM049TirolianTransportAttacker.png	3	Mecha	Vessel - Robotech Masters	LS				
Rules - Civilian Character Cards	rulescards	000RulesCivilianCharacterCards.png								
Rules - Locations	rulescards	000RulesLocationCards.png								
Rules - Rule Changes	rulescards	000RulesRuleChanges.png								
Rules - Vessel Cards	rulescards	000RulesVesselCards.png								
